,author,title,year,places
100,C H B J  van Heck,Leids en nationaal crisisbeleid 1929-1939,1988,[]
101,Josien Reimering,"Ambtenaren en aristocraten, kooplui en arbeiders in de schouwburg : een vergelijking tussen het Haagse en Rotterdamse toneelleven van 1813 tot 1870",1988,[]
102,K R Kerkhoff,"A little education is a little thing : missionaries, Brahmos and the issue of female education in 19th century Calcutta",1988,"[['Kolkata', '88.366667', '22.566667']]"
103,Robbert van der Vos,"Het gaat erom, dat je laat zien dat je er bent.... : een verkennend kwalitatief onderzoek naar de ontwikkeling van stakingen in Nederland 1901-1980",1988,"[['Netherlands', '5.55', '52.316667']]"
104,Rolf de Winter,Pruisische invloeden op de ontwikkeling van het Nederlandse krijgswezen 1864-1914,1988,[]
105,Felix Heersink,"Verrassings- en tegenaanvallen op de bedrijfsvrijheid in het brandverzekeringsbedrijf 1917-1945 : een bedrijfshistorische studie over concurrentie, prijskartels, ministeriële en gemeentelijke monopolieplannen en een naar Duits voorbeeld publiekrechtelijke bedrijfsorganisatie op het terrein van de brandverzekeringen in Nederland",1988,"[['Netherlands', '5.55', '52.316667']]"
106,Angèle Steentjes,"Bekering is ons werk niet, dat is goed voor de paters : case-study over het missiewerk van de Zusters van Schijndel op Curaçao",1988,"[['Curaçao', '-69.0', '12.183333']]"
107,A Abee,De gezinspolitiek van de Rooms-Katholieke Staatspartij en de Katholieke Volkspartij : de ideologie en politieke praktijk van de kinderbijslag nader bezien,1988,[]
108,Henk D  de Deugd,Tussen doorbraak en reklame : de PvdA-verkiezingscampagnes van 1956 tot 1967,1988,[]
109,Dirk de Wit,Stap voor stap : een bedrijfshistorische analyse van de automatisering van de Postcheque- en Girodienst 1950-1968,1988,[]
110,Veronica Hekking,"Seksualiteit in het Maandblad Geestelijke volksgezond[e]heid, van 1966 tot 1986 : discussies tussen de leden van een beroepsgroep als bijdrage aan een veranderingsproces",1988,[]
111,Micheline van Neste,Herdenking en protest bij de dokwerker,1988,[]
112,J B Reerds,Van samenhang naar samenwerking : een historische vergelijkende analyse van de organisatorische samenhang tussen de onderdelen van de Interkerkelijke Stichting voor Geestelijke Volksgezondheid te Rotterdam en Omgeving : het ontstaan van RIAGG RNO,1988,"[['Rotterdam', '4.479167', '51.930833']]"
113,Dick van Loon,Traditie en aanpassing : het Toscane van de Medici en zijn opening naar de Atlantische Oceaan,1988,"[['Atlantic Ocean', '-30.0', '0.0'], ['Grand Duchy of Tuscany', '11.25', '43.783333']]"
114,Cora Boele,De jaren van de Javaanse Gasfabrieken 1863-1905 : een episode uit de geschiedenis van het OGEM-concern,1988,[]
115,E E Mulder,"De integratie van de onderneming : de theorie van Chandler toegepast op Philips en Unilever in Nederland (1890-1930), tegen de achtergrond van het integratieproces in de Verenigde Staten, Groot-Brittannië en Duitsland",1988,"[['Netherlands', '5.55', '52.316667'], ['Germany', '9.916667', '51.516667'], ['Great Britain', '-2.422', '53.826'], ['United States', '-100.0', '40.0']]"
116,Dirk Vennix,De anarchistische paradox : waarom anti-parlementarische anarchisten zich ontwikkelden tot volksvertegenwoordigers in Nederland (1921-1929),1988,"[['Netherlands', '5.55', '52.316667']]"
117,Josephine Bakker,Tussen effektiviteit en zorg : een bedrijfshistorische studie naar de Haagse armeninrichting (1806-1863),1988,[]
118,F J P Oostdam,Democratisering van arbeidsverhoudingen : historische vergelijking van toepassingen van verdergaande vormen van (mede)zeggenschap in Nederland en Joegoslavië,1988,"[['Netherlands', '5.55', '52.316667'], ['Yugoslavia', '20.462222', '44.820556']]"
119,Annemiek van Kemenade,Historische kennis : een aanzet to rekonstruktie en rechtvaardiging van maatschappij-historische kennis in Nederland,1988,"[['Netherlands', '5.55', '52.316667']]"
120,Andries Geertsma,"""Gemeentelijke indeling en annexatie, in het bijzonder de kwesties Den Haag-Rijswijk en Rotterdam-Hilligersberg""",1988,[]
121,J C Dagevos,Militairen in modellen : een overzicht van studies over de strijdkrachten in Latijns-Amerika,1988,[]
122,Rob Riedijk,Een samenleving zonder perspectieven : suicide onder jonge mensen in Nederland bezien vanuit maatschappijhistorisch perspectief in de periode van 1950-1987,1988,"[['Netherlands', '5.55', '52.316667']]"
123,Jeannette Wolters-Rougoor,"De Nederlandse ChristenVrouwen Bond, 1919-1964 : een skriptie mentaliteitsgeschiedenis over het karakter en de plaats van de NCVB binnen de protestants-christelijke zuil",1988,[]
124,Hans Geertzen,'Een tijd zoo verwarrend en zoo voos als deze' : de receptie van avant-gardeschilderkunst in de Groene Amsterdammer 1911-1920,1988,[]
125,J M Bruggeman,"Reconstructie van de bevolkingsgroei in Rotterdam en Eindhoven in de achttiende, de negentiende en het begin van de twintigste eeuw",1988,"[['Rotterdam', '4.479167', '51.930833'], ['Eindhoven', '5.466667', '51.433333']]"
126,G B Post,"Arbeidswerving en migrantenarbeid in de Indiase mijnbouwindustrie : semi-proletarische mijnwerkers in de steenkoolmijnen van Jharia en Raniganj, 1850-1942",1988,"[['Raniganj', '87.13', '23.62'], ['India', '78.0', '21.0'], ['Jharia', '86.420345', '23.751568']]"
127,George van Olffen,Popmuziek en verzet,1988,[]
128,Marieke Veenstra,De ontwikkeling van de Rotterdamse Kamer van Koophandel in de periode van 1945-1950 : een methode van onderzoek,1988,[]
129,Peter R A Oeij,"""Het schip moet niet op de kade wachten, maar de kade op het schip"" : de introduktie van de containeroverslag in de haven van Rotterdam: arbeidsmarkt, konkurrentieverhoudingen en technologie",1988,"[['Port of Rotterdam', '4.2867', '51.885']]"
130,Ingrid Voerman,Weber versus Sombart : een theoretisch-comparatieve studie over de rol van de joden in de ontwikkeling van het westerse kapitalisme,1988,[]
131,Jeannette A F M  van Adrichem,De kwestie der faecaliën te Rotterdam in de 19e eeuw : een case-study over het signaleren van een stadshygiënisch beleidsvraagstuk,1988,"[['Rotterdam', '4.479167', '51.930833']]"
132,S J  de Ruiter,Het ontslagbeleid ten aanzien van gehuwde ambtenaressen in de jaren dertig : principekwestie of crisismaatregel?,1988,[]
133,Bart Grimbergen,"""Onnodige vertoning van veel vrouwelijk vlees"" : de Nederlandse filmkeuring en de verboden films in de periode 1948-1959",1988,[]
134,R N Blijleven,"Met permissie van de burgemeester : de plaats van de kermis in de Haagse samenleving, 1700-1957",1988,[]
135,Sandrina Bokhorst,Beeld van de stad,1988,[]
136,C G W Koch,Militaire bijstand bij (dreigende) openbare ordeverstoringen (1900-1940),1988,[]
137,F E Vroom-de Vroome,Van priester tot predikant : leven en werken van Gellius Faber,1988,[]
138,Peter Knip,"Als het om wereldvrede gaat : het NVV en het vraagstuk van vrede en veiligheid, 1945-1982",1988,[]
139,Gerold van Elshuis,De Surinaamse arbeidsmarktproblematiek en de Nederlandse ontwikkelingshulp 1945-1975,1988,"[['Suriname', '-56.0', '4.3']]"
140,S  de Iongh,Rotterdam en de pest 1624-1723 : bestuurlijke reacties,1988,"[['Rotterdam', '4.479167', '51.930833'], ['Pest County', '19.333333', '47.416667']]"
141,Hermine 't Hart,De bijdrage van de overheidsvoorlichting aan de acceptatie van de tucht en ascese 1945-1947,1988,[]
142,Gerrit Meurs,"Migranten op de Rotterdamse arbeidsmarkt, 1965-1985 : een maatschappijhistorisch onderzoek naar de ontwikkeling van de arbeidsmarktpositie van migranten in Rotterdam, in het bijzonder die van Turken en Marokkanen, 1965-1985",1988,"[['Rotterdam', '4.479167', '51.930833']]"
143,Hans van Berkel,Autoverkeer en infrastructuur in Rotterdam 1900-1940 : het Hofpleinvraagstuk,1989,"[['Rotterdam', '4.479167', '51.930833']]"
144,Onno de Wit,Van bioscoopverordening naar bioscoopwet : de acceptatie van het medium film in Nederland in de jaren tien en twintig op gemeentelijk en nationaal niveau,1989,"[['Netherlands', '5.55', '52.316667']]"
145,V C M Timmerhuis,De opmars van flexibilisering van arbeid : een case-study naar de veranderende meningsvorming rondom uitzendarbeid,1989,[]
146,Ruud van Herk,Diender of soldaat : een studie naar het Rotterdamse politiebeleid voor en tijdens de meidagen van 1940,1989,[]
147,Femma Buters,"""The real India"" : Britse visies op India 1910-1935",1989,"[['India', '78.0', '21.0']]"
148,Michel van Wallené,"'Extraordinaris afgrijsselijck' of 'heerlijke vertooning' : veranderende sensibiliteit ten aanzien van het berglandschap bij Nederlanders, 1580-1860",1989,[]
149,D Mingaars,"""Het spel of de knikkers"" : voetbalherinneringen van oud-Spartanen aan de overgang van amateurvoetbal naar betaald voetbal in Nederland tussen 1939-1966",1989,"[['Netherlands', '5.55', '52.316667']]"
150,W  van der Maas,De NAVO als voorziener van een collectief goed : een onderzoek naar de invloed van militair-strategische ontwikkelingen op de baten van de Verenigde Staten en West-Europa bij het collectieve goed van de NAVO in de periode 1949-1960,1989,"[['United States', '-100.0', '40.0']]"
151,José Haen,University extension; hooger onderwijs voor het volk : een comparatieve studie naar het ontstaan van wetenschappelijke leergangen voor het 'volk' in Engeland (1870-1890) en Nederland (1890-1923),1989,"[['England', '-1.566667', '52.483333'], ['Netherlands', '5.55', '52.316667']]"
152,Anouk van Luik,Transitie en tegenspraak: historici en de historisch materialistische dialectiek,1989,[]
153,Marjoke Middendorp,Haagse vrouwen in de filantropie : een onderzoek naar sporen van het feminisme in liefdadigheid ±1890-1940,1989,[]
154,Barry Raymakers,"Verstrooiing na noeste arbeid : bioscopen en bioscoopbezoek in Rotterdam, 1945-1970",1989,"[['Rotterdam', '4.479167', '51.930833']]"
155,Art de Vos,'Tussen wal en schip' : Korps Mariniers als sluitstuk van de marinebegroting 1962-1973,1989,[]
156,M van der Meulen,Het calvinistische beroepsethos in de republiek tussen 1580 en 1750,1989,"[['Dutch Republic', '4.3', '52.08']]"
157,E  van der Wel,De Nederlandse Maatschappij ter bevordering der Pharmacie en de geneeskundige wetgeving in Nederland van 1842-1865,1989,"[['Netherlands', '5.55', '52.316667']]"
158,L A C Goemans,Toenemende overheidsbemoeienis en particulier initiatief : onderzoek naar de veranderende overheidshouding ten aanzien van het particulier initatief getoetst aan het bejaardenbeleid in de periode 1960-1985,1989,[]
159,J M  van der Steen,Onder water : een bedrijfshistorische studie naar de opkomst en ondergang van de nautische dienst van de PTT,1989,[]
160,Maurice Wilbrink,"Botsende jeugd in de Maasstad : Rotterdamse vetkuiven en artistiekelingen, 1955-1965",1989,"[['Rotterdam', '4.479167', '51.930833']]"
161,Harm Jan van Rees,Aan de horizon ligt een stad : de Alblasserwaard als koloniaal achterland van Dordrecht in de zestiende eeuw,1989,"[['Dordrecht', '4.666667', '51.816667'], ['Alblasserwaard', '4.800833', '51.873333']]"
162,Robin Gerrits,"Huiver en luister! : een verkennend kwalitatief onderzoek naar het gebruik van publiciteit door terroristen in Europa, 1875-1975",1989,"[['Europe', '7.0', '46.0']]"
163,P H Hertog,De Kop van Zuid : een beleids-historisch onderzoek naar de stads-en havenuitbreidingsplannen in de Kop van Zuid 1830-1910,1989,[]
164,Margriet Vernes,Karl Marx en Max Weber : een vergelijking tussen de politieke stellingnames van Marx en Weber en de mogelijke rol die de Duitse context daarin heeft gespeeld,1989,"[['Germany', '9.916667', '51.516667']]"
165,Dean van der Wekke,De ondergang van de (beug)visserij van Middelharnis : een poging tot verklaring van de ondergang van de (beug)visserij in Middelharnis in de periode 1889-1923,1989,"[['Middelharnis', '4.17', '51.75']]"
166,N -A R  van Seventer,"De KLOP, 1907-1943 : een maatschappijhistorische benadering van de N.V. Scheepsbouwwerf en Machinefabriek ""De KLOP"", Sliedrecht",1989,"[['Sliedrecht', '4.77', '51.82']]"
167,Elke Beekman,Driekleur en kruisbanier : de Utrechtse Zendingsvereeniging op Nederlands Nieuw-Guinea 1859-1919,1989,[]
168,P M Nota,"'De jonkvrouw en haar kind' : revolutietheorie, continuïteit en narrativisme in de geschiedschrijving van de Duitse revolutie : een historiografisch-theoretisch onderzoek",1989,"[['Germany', '9.916667', '51.516667']]"
169,G Geradts,De functie van film bij het verwerken van het Vietnamsyndroom : een mogelijk gebruik van film als historische bron,1989,[]
